epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,101.039,0.83164,1.92833,1.49061,0.52204,0.76086,0.75904,0.60245,0.77193,1.15091,1.30278,0.000274375,0.000274375,0.000274375
87,102.107,0.74445,1.74694,1.41242,0.57338,0.77367,0.76324,0.60349,0.71823,1.13758,1.23361,0.00027025,0.00027025,0.00027025
88,103.265,0.87461,1.80707,1.56128,0.7433,0.78798,0.77618,0.63592,0.70544,1.16841,1.20555,0.000266125,0.000266125,0.000266125
89,104.292,0.80331,1.74514,1.41886,0.7433,0.78798,0.77618,0.63592,0.70544,1.16841,1.20555,0.000262,0.000262,0.000262
90,105.359,0.71047,1.75674,1.32328,0.63847,0.87544,0.80756,0.66991,0.68777,1.18972,1.18734,0.000257875,0.000257875,0.000257875
91,106.791,0.79413,1.76017,1.44778,0.64962,0.84563,0.77519,0.6517,0.67024,1.15329,1.16632,0.00025375,0.00025375,0.00025375
92,108.208,0.78126,1.81806,1.43091,0.61074,0.8571,0.79125,0.6626,0.67779,1.10535,1.18589,0.000249625,0.000249625,0.000249625
93,109.346,0.98381,1.85523,1.62401,0.61074,0.8571,0.79125,0.6626,0.67779,1.10535,1.18589,0.0002455,0.0002455,0.0002455
94,110.422,0.79739,1.78481,1.44348,0.60865,0.81107,0.83831,0.68908,0.67525,1.07503,1.1783,0.000241375,0.000241375,0.000241375
95,111.511,0.70576,1.66341,1.33037,0.65517,0.77485,0.84123,0.68557,0.67306,1.02585,1.17244,0.00023725,0.00023725,0.00023725
96,112.62,0.79591,1.74307,1.42614,0.61272,0.8707,0.84685,0.70599,0.67405,0.98871,1.18783,0.000233125,0.000233125,0.000233125
97,113.692,0.85344,1.77412,1.46694,0.61272,0.8707,0.84685,0.70599,0.67405,0.98871,1.18783,0.000229,0.000229,0.000229
98,114.792,0.78319,1.68778,1.41883,0.61875,0.86141,0.82052,0.67939,0.6424,1.00248,1.14952,0.000224875,0.000224875,0.000224875
99,115.85,0.83295,1.59137,1.48254,0.66139,0.80819,0.80588,0.68522,0.59085,1.01404,1.08684,0.00022075,0.00022075,0.00022075
100,116.895,0.74615,1.62676,1.34993,0.63999,0.78081,0.7825,0.66367,0.57532,1.04685,1.06385,0.000216625,0.000216625,0.000216625
101,117.994,0.78473,1.53073,1.41953,0.63999,0.78081,0.7825,0.66367,0.57532,1.04685,1.06385,0.0002125,0.0002125,0.0002125
102,119.471,0.73067,1.67211,1.38304,0.64426,0.8153,0.78161,0.66199,0.57755,1.05839,1.06616,0.000208375,0.000208375,0.000208375
103,121.035,0.8812,1.67673,1.58524,0.64064,0.84909,0.79069,0.67888,0.58231,1.06036,1.05831,0.00020425,0.00020425,0.00020425
104,122.228,0.77505,1.70756,1.40516,0.67829,0.83816,0.81646,0.71265,0.55966,1.03361,1.0175,0.000200125,0.000200125,0.000200125
105,123.375,0.81044,1.70991,1.46981,0.67829,0.83816,0.81646,0.71265,0.55966,1.03361,1.0175,0.000196,0.000196,0.000196
106,124.466,0.70969,1.62463,1.32525,0.74756,0.8532,0.89122,0.78619,0.53833,0.97573,0.99476,0.000191875,0.000191875,0.000191875
107,125.568,0.73908,1.61239,1.36963,0.76502,0.88804,0.89875,0.79228,0.52583,0.92629,0.99129,0.00018775,0.00018775,0.00018775
108,126.651,0.83061,1.66737,1.4309,0.79258,0.82109,0.91032,0.78831,0.53377,0.91404,1.00643,0.000183625,0.000183625,0.000183625
109,127.681,0.69745,1.54554,1.36671,0.79258,0.82109,0.91032,0.78831,0.53377,0.91404,1.00643,0.0001795,0.0001795,0.0001795
110,128.744,0.76551,1.5597,1.40817,0.7848,0.80586,0.91571,0.78535,0.53542,0.91428,1.01392,0.000175375,0.000175375,0.000175375
111,129.803,0.85287,1.72243,1.49998,0.69607,0.84454,0.89058,0.75573,0.54838,0.92805,1.0291,0.00017125,0.00017125,0.00017125
112,130.896,0.81919,1.77699,1.47183,0.69295,0.84987,0.88408,0.75245,0.54939,0.94472,1.03266,0.000167125,0.000167125,0.000167125
113,132.386,0.77836,1.55637,1.41415,0.69295,0.84987,0.88408,0.75245,0.54939,0.94472,1.03266,0.000163,0.000163,0.000163
114,133.842,0.77534,1.52262,1.42508,0.67259,0.81248,0.88372,0.76106,0.55853,0.96483,1.04318,0.000158875,0.000158875,0.000158875
115,134.996,0.75204,1.50909,1.37619,0.6874,0.76736,0.87777,0.75178,0.5607,0.9938,1.0431,0.00015475,0.00015475,0.00015475
116,136.057,0.75268,1.67557,1.39568,0.64526,0.80434,0.87643,0.74297,0.58134,1.02593,1.05283,0.000150625,0.000150625,0.000150625
117,137.1,0.71169,1.51315,1.34574,0.64526,0.80434,0.87643,0.74297,0.58134,1.02593,1.05283,0.0001465,0.0001465,0.0001465
118,138.158,0.71459,1.60912,1.38123,0.52722,0.85347,0.8626,0.73685,0.58467,1.04727,1.04731,0.000142375,0.000142375,0.000142375
